fragments	probes	contacts_over_total	Capture_efficiency_WT
2630	Neg_chr2-199707	0.0000117222	0.003159693
5315	chr2-650593-MET8	0.006682997	1.801390695
8579	chr4-64420-CDC13	0.00593505	1.599782905
9403	Neg_chr4-200383	0.0000505569	0.013627522
18529	Probe_URA-L-17213-MfeI-RC	0.00020765	0.055971713
18529	Probe_URA-L-16220-MfeI-RC	0.00020765	0.055971713
18535	Probe_URA-L-15683-SspI-RC	0.000385636	0.103947467
18559	Probe_URA-L-9924-MfeI-RC	0.0000355652	0.009586553
18583	Probe_URA-L-6532-MfeI-RC	0.000060126	0.016206863
18589	Probe_URA-L-6065-SspI-RC	0.000597432	0.161036895
18600	Probe_URA-L-4543-SspI-RC	0.00000147524	0.000397649
18605	Probe_URA-L-3728-SspI-RC	0.001097937	0.295947209
18611	Probe_URA-L-3081-MfeI-RC	0.001441469	0.388545574
18614	Probe_URA-L-2599-MfeI-RC	0.000608716	0.164078369
18616	Probe_URA-L-1560-SspI-RC	0.0000716887	0.019323568
18618	Probe_URA-L-774-MfeI-RC	0.000019537	0.005266156
18621	Probe_URA-R-1439-SspI	0.000108849	0.029340011
18632	Probe_URA-R-2715-93-SspI	0.000138433	0.037314475
18634	Probe_URA-R-2954-SspI	0.00013652	0.036798607
18666	Probe_URA-R-8073-SspI	0.000981553	0.264575967
18673	Probe_URA-R-9028-MfeI	0.0000744797	0.020075876
18676	Probe_URA-R-10241-SspI	0.00000829324	0.002235429
18694	Probe_URA-R-12116-SspI	0.000980197	0.26421056
18706	Probe_URA-R-13482-SspI	0.0000574945	0.015497544
18706	Probe_URA-R-14040-MfeI	0.0000574945	0.015497544
30534	Neg_chr8-103079	0.0000379177	0.010220641
30750	chr8-140404-ARG4-54nt	0.004601075	1.240211936
32542	chr8-428677-DNA2	0.001322453	0.356465012
38864	chr10-449622-POL31	0.003857593	1.039807839
64173	Neg_chr15-331170	0.00000729646	0.001966748
65930	chr15-620339-PDR5	0.001829218	0.493062646
68339	chr15-996452-MEK1	0.001740983	0.469278967
