fragments	probes	contacts_over_total	Capture_efficiency_WT
2630	Neg_chr2-199707	0.0000117	0.000744428
5315	chr2-650593-MET8	0.027531258	1.755139298
8579	chr4-64420-CDC13	0.024184669	1.546425146
9403	Neg_chr4-200383	0.0000443	0.002863405
18529	Probe_URA-L-17213-MfeI-RC	0.0000682	0.004362353
18529	Probe_URA-L-16220-MfeI-RC	0.0000682	0.004362353
18535	Probe_URA-L-15683-SspI-RC	0.0000472	0.003039384
18559	Probe_URA-L-9924-MfeI-RC	0.0000332	0.00207827
18583	Probe_URA-L-6532-MfeI-RC	0.000198	0.012494082
18589	Probe_URA-L-6065-SspI-RC	0.002179965	0.137362091
18600	Probe_URA-L-4543-SspI-RC	0.00000277	0.000175794
18605	Probe_URA-L-3728-SspI-RC	0.004649267	0.296210651
18611	Probe_URA-L-3081-MfeI-RC	0.007081021	0.45082589
18614	Probe_URA-L-2599-MfeI-RC	0.003393452	0.21681461
18616	Probe_URA-L-1560-SspI-RC	0.000418	0.025930643
18618	Probe_URA-L-774-MfeI-RC	0.0000168	0.001079337
18621	Probe_URA-R-1439-SspI	0.000555817	0.035606806
18632	Probe_URA-R-2715-93-SspI	0.000511066	0.032442504
18634	Probe_URA-R-2954-SspI	0.000712211	0.045364821
18666	Probe_URA-R-8073-SspI	0.002372122	0.15083242
18673	Probe_URA-R-9028-MfeI	0.000177	0.011187812
18676	Probe_URA-R-10241-SspI	0.00000537	0.000329206
18694	Probe_URA-R-12116-SspI	0.000244	0.015341202
18706	Probe_URA-R-13482-SspI	0.0000442	0.002806648
18706	Probe_URA-R-14040-MfeI	0.0000442	0.002806648
30534	Neg_chr8-103079	0.0000416	0.002668551
30750	chr8-140404-ARG4-54nt	0.017312368	1.103302438
32542	chr8-428677-DNA2	0.004507187	0.288964276
38864	chr10-449622-POL31	0.024937949	1.594685836
64173	Neg_chr15-331170	0.00000613	0.000388566
65930	chr15-620339-PDR5	0.006748731	0.432084308
68339	chr15-996452-MEK1	0.004398382	0.279398698
