fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.016803786
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.016803786
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.01523971
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.00605578
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.040224814
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.211390824
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.001203135
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.364389495
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.521198093
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.299019158
18621	Probe_URA-R-1439-SspI	chr5	ss	0.036294573
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.033928408
18634	Probe_URA-R-2954-SspI	chr5	ss	0.045638922
18666	Probe_URA-R-8073-SspI	chr5	ss	0.368921304
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.0409868
18676	Probe_URA-R-10241-SspI	chr5	ss	0.001523971
18694	Probe_URA-R-12116-SspI	chr5	ss	0.013555321
18706	Probe_URA-R-13482-SspI	chr5	ss	0.012432395
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.012432395
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.01042717
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.049208223
8579	chr4-64420-CDC13	chr4	ds	1.533756531
32542	chr8-428677-DNA2	chr8	ds	0.402167935
68339	chr15-996452-MEK1	chr15	ds	0.387369374
5315	chr2-650593-MET8	chr2	ds	2.131915162
65930	chr15-620339-PDR5	chr15	ds	0.43144422
38864	chr10-449622-POL31	chr10	ds	0.71754973
30750	chr8-140404-ARG4-54nt	chr8	ds	1.395797048
30534	Neg_chr8-103079	chr8	ds_neg	0.023942387
9403	Neg_chr4-200383	chr4	ds_neg	0.027872628
2630	Neg_chr2-199707	chr2	ds_neg	0.006938079
64173	Neg_chr15-331170	chr15	ds_neg	0.00284742
