fragment	probe	chr	type	dsdna_norm_capture_efficiency
2630	Neg_chr2-199707	chr2	ds_neg	0.0015453441637285
5315	chr2-650593-MET8	chr2	ds	1.7794183532345094
8579	chr4-64420-CDC13	chr4	ds	1.6660173623961925
9403	Neg_chr4-200383	chr4	ds_neg	0.0075903669218432
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.0619955717448753
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.0619955717448753
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.2129393355020096
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.0163170163170163
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.0264526559791183
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.2390738323885956
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.0725402730973761
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.3211588782619423
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.3820181675334879
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.2101213549681516
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.025679983897254
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.3981988299537046
18621	Probe_URA-R-1439-SspI	chr5	ss	0.0309068832745713
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.058859432118485
18634	Probe_URA-R-2954-SspI	chr5	ss	0.0540870457304997
18666	Probe_URA-R-8073-SspI	chr5	ss	0.615092428462902
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.0258617890929868
18676	Probe_URA-R-10241-SspI	chr5	ss	0.0010908311743966
18694	Probe_URA-R-12116-SspI	chr5	ss	0.4577400315561876
18706	Probe_URA-R-13482-SspI	chr5	ss	0.0206803410146028
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.0206803410146028
30534	Neg_chr8-103079	chr8	ds_neg	0.0060450227581146
30750	chr8-140404-ARG4-54nt	chr8	ds	1.1565992039529644
32542	chr8-428677-DNA2	chr8	ds	0.4019712877651596
38864	chr10-449622-POL31	chr10	ds	1.142509301283675
64173	Neg_chr15-331170	chr15	ds_neg	0.0003636103914655
65930	chr15-620339-PDR5	chr15	ds	0.5364162300095447
68339	chr15-996452-MEK1	chr15	ds	0.3170682613579549
