fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.036980487
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.036980487
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.173786912
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.019416537
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.025864965
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.211693692
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.001033174
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.245289645
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.383877404
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.233995989
18621	Probe_URA-R-1439-SspI	chr5	ss	0.028643845
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.025829338
18634	Probe_URA-R-2954-SspI	chr5	ss	0.031672112
18666	Probe_URA-R-8073-SspI	chr5	ss	0.405324661
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.01980843
18676	Probe_URA-R-10241-SspI	chr5	ss	0.002814507
18694	Probe_URA-R-12116-SspI	chr5	ss	0.273790983
18706	Probe_URA-R-13482-SspI	chr5	ss	0.007018455
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.007018455
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.008229762
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.0367311
8579	chr4-64420-CDC13	chr4	ds	1.56575666
32542	chr8-428677-DNA2	chr8	ds	0.386086257
68339	chr15-996452-MEK1	chr15	ds	0.45758899
5315	chr2-650593-MET8	chr2	ds	2.088257449
65930	chr15-620339-PDR5	chr15	ds	0.424099918
38864	chr10-449622-POL31	chr10	ds	0.848805489
30750	chr8-140404-ARG4-54nt	chr8	ds	1.229405238
30534	Neg_chr8-103079	chr8	ds_neg	0.019131523
9403	Neg_chr4-200383	chr4	ds_neg	0.024689285
2630	Neg_chr2-199707	chr2	ds_neg	0.004952108
64173	Neg_chr15-331170	chr15	ds_neg	0.003063894
