fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.019615877
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.019615877
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.007712319
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.004479925
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.014533205
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.145377755
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.000633607
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.34824003
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.49954661
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.18612166
18621	Probe_URA-R-1439-SspI	chr5	ss	0.0335857
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.039337027
18634	Probe_URA-R-2954-SspI	chr5	ss	0.039642032
18666	Probe_URA-R-8073-SspI	chr5	ss	0.130624925
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.020923832
18676	Probe_URA-R-10241-SspI	chr5	ss	0.000722794
18694	Probe_URA-R-12116-SspI	chr5	ss	0.018338039
18706	Probe_URA-R-13482-SspI	chr5	ss	0.01322982
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.01322982
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.004467374
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.024853434
8579	chr4-64420-CDC13	chr4	ds	1.452662201
32542	chr8-428677-DNA2	chr8	ds	0.403750258
68339	chr15-996452-MEK1	chr15	ds	0.444052022
5315	chr2-650593-MET8	chr2	ds	1.698773886
65930	chr15-620339-PDR5	chr15	ds	0.488339031
38864	chr10-449622-POL31	chr10	ds	1.29971886
30750	chr8-140404-ARG4-54nt	chr8	ds	1.212703742
30534	Neg_chr8-103079	chr8	ds_neg	0.008983236
9403	Neg_chr4-200383	chr4	ds_neg	0.008367598
2630	Neg_chr2-199707	chr2	ds_neg	0.00324395
64173	Neg_chr15-331170	chr15	ds_neg	0.001749979
