fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.070588445
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.070588445
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.127393926
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.005955044
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.01022398
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.146003989
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.000263448
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.181594526
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.320716952
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.165432559
18621	Probe_URA-R-1439-SspI	chr5	ss	0.027605803
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.042573965
18634	Probe_URA-R-2954-SspI	chr5	ss	0.032303515
18666	Probe_URA-R-8073-SspI	chr5	ss	0.215536722
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.021093332
18676	Probe_URA-R-10241-SspI	chr5	ss	0.001791813
18694	Probe_URA-R-12116-SspI	chr5	ss	0.25229415
18706	Probe_URA-R-13482-SspI	chr5	ss	0.013185981
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.013185981
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.006270817
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.011361686
8579	chr4-64420-CDC13	chr4	ds	1.563452588
32542	chr8-428677-DNA2	chr8	ds	0.31969721
68339	chr15-996452-MEK1	chr15	ds	0.535888613
5315	chr2-650593-MET8	chr2	ds	1.877520045
65930	chr15-620339-PDR5	chr15	ds	0.448535399
38864	chr10-449622-POL31	chr10	ds	1.003894701
30750	chr8-140404-ARG4-54nt	chr8	ds	1.251011445
30534	Neg_chr8-103079	chr8	ds_neg	0.012149661
9403	Neg_chr4-200383	chr4	ds_neg	0.016459562
2630	Neg_chr2-199707	chr2	ds_neg	0.003894438
64173	Neg_chr15-331170	chr15	ds_neg	0.002467331
