fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.015858174
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.015858174
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.00806775
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.0032809
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.00840041
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.131900101
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.00054902
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.203597076
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.459295263
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.197783602
18621	Probe_URA-R-1439-SspI	chr5	ss	0.031025646
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.039524727
18634	Probe_URA-R-2954-SspI	chr5	ss	0.036498056
18666	Probe_URA-R-8073-SspI	chr5	ss	0.139068301
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.025322347
18676	Probe_URA-R-10241-SspI	chr5	ss	0.000850014
18694	Probe_URA-R-12116-SspI	chr5	ss	0.019960849
18706	Probe_URA-R-13482-SspI	chr5	ss	0.012742298
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.012742298
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.002899598
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.01366356
8579	chr4-64420-CDC13	chr4	ds	1.441820034
32542	chr8-428677-DNA2	chr8	ds	0.391186639
68339	chr15-996452-MEK1	chr15	ds	0.46740806
5315	chr2-650593-MET8	chr2	ds	1.750011388
65930	chr15-620339-PDR5	chr15	ds	0.47211559
38864	chr10-449622-POL31	chr10	ds	1.197329123
30750	chr8-140404-ARG4-54nt	chr8	ds	1.280129166
30534	Neg_chr8-103079	chr8	ds_neg	0.010673454
9403	Neg_chr4-200383	chr4	ds_neg	0.013360447
2630	Neg_chr2-199707	chr2	ds_neg	0.00334358
64173	Neg_chr15-331170	chr15	ds_neg	0.001905697
