fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.055114325
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.055114325
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.097965424
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.010978594
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.020032471
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.176431325
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.000505138
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.35671308
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.41745311
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.165219582
18621	Probe_URA-R-1439-SspI	chr5	ss	0.030995362
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.041952749
18634	Probe_URA-R-2954-SspI	chr5	ss	0.040702299
18666	Probe_URA-R-8073-SspI	chr5	ss	0.31239648
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.022000752
18676	Probe_URA-R-10241-SspI	chr5	ss	0.002693238
18694	Probe_URA-R-12116-SspI	chr5	ss	0.295619219
18706	Probe_URA-R-13482-SspI	chr5	ss	0.01826178
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.01826178
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.004896548
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.023585057
8579	chr4-64420-CDC13	chr4	ds	1.558649454
32542	chr8-428677-DNA2	chr8	ds	0.371954887
68339	chr15-996452-MEK1	chr15	ds	0.445864074
5315	chr2-650593-MET8	chr2	ds	1.784274929
65930	chr15-620339-PDR5	chr15	ds	0.51196645
38864	chr10-449622-POL31	chr10	ds	1.08235119
30750	chr8-140404-ARG4-54nt	chr8	ds	1.244939016
30534	Neg_chr8-103079	chr8	ds_neg	0.008748476
9403	Neg_chr4-200383	chr4	ds_neg	0.011963877
2630	Neg_chr2-199707	chr2	ds_neg	0.003164351
64173	Neg_chr15-331170	chr15	ds_neg	0.001920738
