fragment	probe	chr	type	dsdna_norm_capture_efficiency
2630	Neg_chr2-199707	chr2	ds_neg	0.008481208395406288
5315	chr2-650593-MET8	chr2	ds	1.9871108261517283
8579	chr4-64420-CDC13	chr4	ds	1.356564332723604
9403	Neg_chr4-200383	chr4	ds_neg	0.02029549868939637
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.11477682023043995
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.11477682023043995
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.12375304078900225
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.014784363272926135
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.006336155688396915
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.06877368986780819
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.046300137660525376
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.1863885798336759
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.21608930962303646
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.13437930189141792
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.01230930245714609
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.1861905749684135
18621	Probe_URA-R-1439-SspI	chr5	ss	0.016005393275377623
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.04484810198193442
18634	Probe_URA-R-2954-SspI	chr5	ss	0.06375756661449396
18666	Probe_URA-R-8073-SspI	chr5	ss	0.23103867695034794
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.02993173546550001
18676	Probe_URA-R-10241-SspI	chr5	ss	0.007425182447340134
18694	Probe_URA-R-12116-SspI	chr5	ss	0.2411369250787305
18706	Probe_URA-R-13482-SspI	chr5	ss	0.024288596805521506
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.024288596805521506
30534	Neg_chr8-103079	chr8	ds_neg	0.017787437062739254
30750	chr8-140404-ARG4-54nt	chr8	ds	1.158328461785061
32542	chr8-428677-DNA2	chr8	ds	0.37690226102698526
38864	chr10-449622-POL31	chr10	ds	1.363395500575157
64173	Neg_chr15-331170	chr15	ds_neg	0.008283203530143883
65930	chr15-620339-PDR5	chr15	ds	0.4683805087782157
68339	chr15-996452-MEK1	chr15	ds	0.2893181089592487
