fragment	probe	chr	type	dsdna_norm_capture_efficiency
2630	Neg_chr2-199707	chr2	ds_neg	0.008186132994079366
5315	chr2-650593-MET8	chr2	ds	1.9351812888388706
8579	chr4-64420-CDC13	chr4	ds	1.3988354455154866
9403	Neg_chr4-200383	chr4	ds_neg	0.022606057640553897
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.09364388119587023
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.09364388119587023
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.05672065371629887
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.020790722708812447
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.057405685766012626
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.2550716837109165
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.10686499975534569
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.44564759994128295
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.48801683221607867
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.3608063805842345
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.021749767578411704
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.5757694377844106
18621	Probe_URA-R-1439-SspI	chr5	ss	0.028017810833292557
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.06590008318246318
18634	Probe_URA-R-2954-SspI	chr5	ss	0.032813035181288835
18666	Probe_URA-R-8073-SspI	chr5	ss	0.6586583157997749
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.0834026520526496
18676	Probe_URA-R-10241-SspI	chr5	ss	0.0015755737143416351
18694	Probe_URA-R-12116-SspI	chr5	ss	0.022366296423154082
18706	Probe_URA-R-13482-SspI	chr5	ss	0.053740764300044035
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.053740764300044035
30534	Neg_chr8-103079	chr8	ds_neg	0.011851054460047953
30750	chr8-140404-ARG4-54nt	chr8	ds	1.0816656064980184
32542	chr8-428677-DNA2	chr8	ds	0.5034643049371238
38864	chr10-449622-POL31	chr10	ds	1.0594020648823212
64173	Neg_chr15-331170	chr15	ds_neg	0.00616528844742379
65930	chr15-620339-PDR5	chr15	ds	0.7566178989088418
68339	chr15-996452-MEK1	chr15	ds	0.26483339041933746
